    x                cos(x)         cos'(x)
      1.00            0.54           -0.84
      1.01            0.53           -0.85
      1.02            0.52           -0.85
      1.03            0.51           -0.86
      1.04            0.51           -0.86
      1.05            0.50           -0.87
      1.06            0.49           -0.87
      1.07            0.48           -0.88
      1.08            0.47           -0.88
      1.09            0.46           -0.89
      1.10            0.45           -0.89
      1.11            0.44           -0.90
      1.12            0.44           -0.90
      1.13            0.43           -0.91
      1.14            0.42           -0.91
      1.15            0.41           -0.91
      1.16            0.40           -0.92
      1.17            0.39           -0.92
      1.18            0.38           -0.93
      1.19            0.37           -0.93
      1.20            0.36           -0.93
      1.21            0.35           -0.94
      1.22            0.34           -0.94
      1.23            0.33           -0.94
      1.24            0.32           -0.95
      1.25            0.32           -0.95
      1.26            0.31           -0.95
      1.27            0.30           -0.96
      1.28            0.29           -0.96
      1.29            0.28           -0.96
      1.30            0.27           -0.96
      1.31            0.26           -0.97
      1.32            0.25           -0.97
      1.33            0.24           -0.97
      1.34            0.23           -0.97
      1.35            0.22           -0.98
      1.36            0.21           -0.98
      1.37            0.20           -0.98
      1.38            0.19           -0.98
      1.39            0.18           -0.98
      1.40            0.17           -0.99
      1.41            0.16           -0.99
      1.42            0.15           -0.99
      1.43            0.14           -0.99
      1.44            0.13           -0.99
      1.45            0.12           -0.99
      1.46            0.11           -0.99
      1.47            0.10           -1.00
      1.48            0.09           -1.00
      1.49            0.08           -1.00
      1.50            0.07           -1.00
      1.51            0.06           -1.00
      1.52            0.05           -1.00
      1.53            0.04           -1.00
      1.54            0.03           -1.00
      1.55            0.02           -1.00
      1.56            0.01           -1.00
      1.57            0.00           -1.00
      1.58           -0.01           -1.00
      1.59           -0.02           -1.00
      1.60           -0.03           -1.00
      1.61           -0.04           -1.00
      1.62           -0.05           -1.00
      1.63           -0.06           -1.00
      1.64           -0.07           -1.00
      1.65           -0.08           -1.00
      1.66           -0.09           -1.00
      1.67           -0.10           -0.99
      1.68           -0.11           -0.99
      1.69           -0.12           -0.99
      1.70           -0.13           -0.99
      1.71           -0.14           -0.99
      1.72           -0.15           -0.99
      1.73           -0.16           -0.99
      1.74           -0.17           -0.98
      1.75           -0.18           -0.98
      1.76           -0.19           -0.98
      1.77           -0.20           -0.98
      1.78           -0.21           -0.98
      1.79           -0.22           -0.97
      1.80           -0.23           -0.97
